,review,Sentiment_Score,Sentiment_Label
3483,18 August 2014 Gatwick to Orlando flight details and departure went well. However when the food was served on the flight there was limited choice chicken or sausages which was fine until they ran out and then could only offer the veggie option which was pasta which my Father in Law doesn't eat so he ended up with 2 bread rolls as his lunch/dinner. This was served within the first hour of our over 8 hour flight and then 7 hours later we were served a snack which only had one option coronation chicken (chicken again!) which only 2 in our party of 6 liked. Again my Father in Law had nothing as he was 1 of the 4. Pretty poor show British Airways as we travelled with Virgin to Mexico in June this year economy class and they offered a menu with three choices for lunch/dinner with enough for everyone! Again when the snack was served option were given and enough for all. Virgin also provided a very good entertainment system with up to date films TV and games which was something you need on a long journey again BA was not able to provide. BA your competitors are definitely offering more value for our money! I wouldn't not fly BA again as I don't like to limit my choices however I would definitely prefer to fly Virgin in future. In my opinion all flights should have enough food for all of their passengers and look at what they are offering as coronation chicken didn't go down well with a large number of passengers what's happened to good old ham or cheese?,0.9759,Positive
2984,"19 April KWI-LHR BA157. LHR-EDI BA1454. 3 May EDI-LHR BA1459. LHR-KWI BA156. KWI-LHR-EDI-LHR-KWI: booked World Traveller Plus (Premium Economy) but upgraded to Club World (Business Class) on the outward trip. An excellent experience: as always the cabin crew make the difference. On all sectors professional well-turned-out staff who were genuinely friendly cheerful and helpful. Food was excellent (chicken or pasta seem to be a thing of the past - I was not offered either) nicely presented and for me in sufficient quantity. Water/orange juice runs on a regular basis washrooms clean and tidy and well-stocked A wide range of entertainment on the KWI-LHR sector (it kept me entertained for a 6-hour flight and because I flew out in April and back in May the selection had changed on the return flight). Smooth flights (the 747's on the KWI-LHR sector although old were well- maintained and everything worked - I really enjoy flying the ""Queen of the Skies"") and plenty of information from the flight deck. Slight delay outbound at Kuwait because of a technical problem but it was resolved: all other sectors were on time. I travelled on a Sunday in both directions so no delays in connections at Heathrow although I had built in sufficient time between flights to allow for delays when I booked my ticket. All in all four excellent flights - BA seem to have improved immensely since I last flew with them in 2014: the cabin crew and check-in staff seem to make the difference and for this reason I use BA in preference to the carriers from the Middle East especially as Terminal 5 at Heathrow is a very civilised place to transfer (at least in my experience).",0.9924,Positive
3656,1st Class LHR-PHX. Totally seamless flight. Great driver collection through concierge service (granted it was extra). Concorde room was lovely great staff and nice breakfast. First class service onboard staff were very good. Producing a very nice custom meal for my wife.,0.9685,Positive
3410,"2 recent flights LHR to SFO (12 hrs) - 7th Sept then San Diego to LHR (9 hrs) 21st Sept BA 272. Club World cabin. Wife and I have flown business class on - Singapore Air New Zealand Emirates Air Malaysia and Virgin on 20 occasions to New Zealand by various routes so we are familiar with the service provided at this level by other airlines. BA in our opinion doesn't come close. Briefly: - being charged £284 extra to reserve seats how do they get away with it? Personally we felt uncomfortable with the back-to-front seat layout too enclosed and awkward to get out of (we were in the inner cell) and I would imagine irritating for the outside passengers as well to have people clambering over their legs. Details - ""hot towels"" threadbare scraps of cloth that were stone cold in under ten seconds and then only one and nothing for morning wake-up cheap looking menus lukewarm tea and coffee thrust over the barrier in mugs a sudden rattle as the screen was lowered and a basket of bread rolls thrust under your nose having to reach out sideways to receive meals embarrassment at disturbing the outside passenger trays passed over them minute napkins (expect paper sheets anytime soon) cabin crew just doing their job walking up and down the aisles at great speeds so as to avoid being asked for something cold soggy croissants which are an insult to croissants and don't get me started about the bacon roll! We were offered a drink before dinner and had to ask for a top-up one glass of wine with dinner (dry tough steak) and a refill after we had finished eating no after dinner drinks were offered. Lights out-see you in the morning! I could go on but suffice to say we are so disappointed that our national airline could be so far behind the others.",-0.9408,Negative
3665,2/5/2014 BRU-LHR-JFK. Short flight in business from Brussels to Heathrow was how a short business always has to be: excellent crew decent food flight was on time. Flight from LHR to JFK started in perfect conditions: First lounge in Terminal 5 (as a gold member) with excellent champagne and food and place. Boarding was smooth with helpful crew a nice drink to welcome us on board and to relax and a nice smile. In one word the start of a perfect flight in a full cabin landing on time in New York. This is how it always should be.,0.9859,Positive
3070,23/3/2015 LHR-SIN BA011 First. Awful from booking to completion of the flight. As a BA. Gold executive member at time of booking some 11 months ago booked this flight on the new A380 only to be told by BA in May 2014 the equipment had been changed to the extremely old 744 due to technical issues. Sold feeling a little let down secured seats 1a and 2a on the 744 these are the best of a bad bunch as to I wonder why BA squeezes 14 seats into such a small area where other airlines only fit 8 seats into the front sections of 744s'. At the beginning of March I checked the booking online only to find that we had been moved to row 5 in the middle this was not acceptable. I called the BA gold line to object only to be given numerous contradicting excuses non of which were valid whilst on the flight I found out that the passenger in 1a was a lifetime gold member so. I can only assume that rank has its privileges. Now onto the flight arrogant staff with one exception really poor food served at different times as we were in the middle which meant we had different staff attending to us. Plane interior shabby not surprised for a 20 plus year old plane along with the PA being inaudible I felt this to be a safety issue and when mentioned I was ignored. I booked this flight for us a part of a special Far East holiday I had high expectations of BA First which have not been met in anyway what a total waste of money. Will now try to avoid flying BA in any of there classes once I have redeemed my Avios balance.,-0.3787,Negative
3507,26th July LGW to Orlando. Drinks service from the crew was good. Champagne upon boarding and a top up without requesting. It was greatly appreciated! Food was not outstanding but pleasant enough. Overall the cabin service was good. Several services of drinks and top ups when requested. What let this flight down was the number of unruly children on this flight. I was in an outside seat on the port side and an 8 or 9 year old child in front got out of her seat every five minutes or so continually throughout the flight and her younger sibling was also jointing her when she did manage to stay put. I attempted to avail myself of the flat bed but three times these children stood on my legs as they clambered over into their seat. The parents of these children never once intervened to check their children's behaviour although they were well aware of how they were behaving. My wife did not have much luck either. The couple to her rear were sat throughout the flight crossed legged in the isle playing with their children and their toys and my wife had to struggle passed them every time she wished to use the toilet. Surely a tripping hazard! There were many other children on the flight who were well behaved so it can be done if parents set boundaries for their offspring. Whilst BA cannot be held responsible for children's behaviour I feel that as we were in the Club World cabin some sort of announcement should be made by BA requesting passengers with children respect the comfort of fellow passengers. P.S. The Club Lounge at Gatwick was like a kindergarten but that is another story!,0.9654,Positive
2923,"28 May 2015, GLA-LHR. A321 (new Seating) Seat 4A.  Flight was on time and about half full.  I've read complaints about the new seating however found it to be comfortable and roomy.  Drink and snack service was fine and the cabin crew were all very friendly.",0.7089,Positive
2920,"28th May 2015, LHR-DEN, B747, Seat 29A.  Paid £55 extra for Legroom seat which was good though the width is very narrow.  Lady in seat next to me kept fidgeting And her arm kept twitching into mine the whole flight which was annoying.  Flight was on time and cabin crew were all very friendly.  Food also was pretty good for economy.  747 is really showing her age now, though the cabin was clean, tidy and in good condition, it was old in style and very noisy.  The entertainment system is also quite long in the tooth with a small, blurry, screen.  Pretty good flight though.",0.9689,Positive
2731,"30th wedding anniversary ruined due to British Airways not loading baggage onto flight - not just ours but the whole flight! Baggage handling belts broken so baggage all piled up in departure lounge. Baggage tracking website does not work, so that's a waste of time! Call centre in London diverts to call centre in India so you can't understand a thing being said and vice versa. Pilot and staff must have known there was no baggage in hold and yet the flight was still allowed to leave. Italian contact number for British Airways lost luggage was unobtainable and given out regardless of that fact. Would not recommend British Airways to my worst enemy.",-0.9843,Negative
3314,31.10.14 - LHR to Berlin Tegel. Flight out good modern plane clean food ok and cabin crew good even pleasant. Return 3.11.14 1625hrs from Berlin horrid. Crew only interested in themselves. Was tossed a cup of coffee and a snack. Staff openly ate the left over food from Business Class in the rear galley. I have complained about this before but clearly BA dont find it unpleasant. The return crew reminded me why I try to avoid BA.,0.853,Positive
3291,52b on upper deck to LAX and 51b back from LAX to LHR. Food on flights is ok and you are best advised to order a veggie meal in advance if you don't eat meat. Seats are better on the A380 in club than on other aircraft where they are not as new or comfy. IFE is fine though not as extensive as Emirates. I like that the announcements are kept to a minimum. The washroom on this side of the aircraft is huge - perfect for changing.,0.9559,Positive
3677,6 May 2014: Las Vegas to Gatwick. Boeing 777. Back on BA again thanks to Avios Companion coupon. Cabin crew are now more present throughout the journey but not experienced any of them going too far to please a customer it seems just okay if they run out of a meal choice or if friends not seated together. Certainly yesterday cleaning the wc was not on the duty list. I've flown AF TAP SWISS KLM long haul in the past year and by far BA catering in economy is the poorest in content. Yesterdays offering for Breakfast was almost an insult.,-0.235,Negative
3365,777-200 4-class refitted with the new World Traveller and WT Plus cabins. LHR-DEL-LHR. Very disappointed. On the outbound flight the food choice was gone before they reached the 4th row of the economy cabin meaning that myself and the rest of the cabin had to have the second choice meal - second choice for good reason. It was a truly unpleasant tray of food. The real issue is the introduction of possibly the largest entertainment equipment box in the floor space I have ever seen. It literally takes up half of the floor and prevents you from stretching both legs out. I don't know if this is exclusive to the refitted B777's but it is certainly a side effect of the new IFE and isn't there on the the older cabins. The box seems to be under every window seat on both sides of the cabin. I really don't understand what the cabin designers were thinking allowing this box to take up so much of the space that is already so precious. They could have at least rounded off the corners. It seems rushed and last minute. This means that I am now avoiding BA when booking a trip if they are operating the B777 on the desired route. Bye bye Executive Club silver.,0.9084,Positive
3040,9 April 2015 BA 777 Business Class Seattle USA - Heathrow. Check-in easy lounge good boarding pleasant. Food quality was good not excellent but the film choice was great. Flat bed seats were comfortable enough. The breakfast was a little skimpy. The major downside was that for the money you pay for business class you should not have to pay to choose a seat at booking. BA will let you choose seats 7 days in advance if you are a mileage plan 1st elevated tier or better member but if not then you have to wait until 24 hours ahead. Of course you can always fork over another $113 to pre-reserve a seat. Talk about biting the hand that feeds you.,0.9664,Positive
2921,"9/6/15, ORD-LHR, 777-300, Club World, Seat 13b.  Had booked as World Traveler Plus but was upgraded pretty close to departure. This meant I did not have any time to get a meal before hand and the meal on board was both small and not very good.  Would have been better with the economy mean I think. Breakfast was pretty poor as well with
several items not given out. Other than that the crew were excellent and very attentive.  The seat was full lie flat though pretty narrow I thought compared to other carriers Business class. Entertainment system was also very good and up to date.",0.9733,Positive
3436,9/8/14 LHR-EWR in WC. Clean aircraft but moderate dysfunction of armrest foot stool and video screen. We find this seating configuration very uncomfortable and will avoid BA when possible. One FA spent this flight chatting w. friend to the blockage of aisle and detriment of service. Dinner was fairly horrid (beef) except for salad and cheese. Late departure and 40 min late arrival with no explanations given.,-0.9142,Negative
2696,"A 3 hour delay but notified by text earlier in the day so no waiting around. The problem is that British Airways Business Class Club World product and service is so old and tired that it is just very poor value and quality. The inflight entertainment is constantly faulty and breaking - they had to keep resetting it (this has happened on the last two BA Club flights I have been on), the seats are tired, it was not very clean - the lockers by the windows on the upper deck were dirty and falling apart. The food was quite good except the dessert was awful - they always seem to serve the same lemon dessert on this leg. The crew were pleasant, but the planes are too old and tired now to make this an attractive option. I look to avoid British Airways when I can for Business Class.",-0.9757,Negative
2295,"A big improvement over the same leg 15 months earlier. British Airways in Economy from Heathrow to Miami outbound, business class Chicago to Heathrow inbound. Lounge service in Chicago excellent for me (Mum) and acceptable for my daughter - this time there was at least some simple-ish food which was child-friendly. Staff were friendly to the children on both legs, took time to fill out her flyer logbook.",0.9042,Positive
1958,"A good flight from Heathrow to Stockholm. Busy and chaotic boarding as didn't board by row number. Therefore boarding took forever and with an excess of hand luggage, flight was then late. On board meal now a bag of crisps or biscuits but I know that by January even that will have gone, thereby relegating BA to a low cost airline. Not surprised mind you, as they have to compete with the others, but BA will need to keep their prices keen. Female crew were as friendly as ever. Males less so.",0.7185,Positive
3634,A long time user of BA I have seen a gradual decline in quality now hit freefall and the LHR-PHX-LHR route that I use monthly has become more akin to sitting in a cattle truck than a B747. Old airframes with tatty interiors are the norm legroom is extremely limited the aircraft is seldom what you would call clean and the crews give the impression they are almost putting themselves out to serve you. Food is not worthy of the name and the whole experience is an utterly miserable 10 hours of your life each leg. Enough is enough and 1st June is the last time I'll use the outbound flight as I'm switching across to United via ORD in future. OK it means a changeover in Chicago but the recent experience was a refreshing change from BA and I actually felt like I was wanted on the United flights.,0.8211,Positive
2236,"A mediocre service on this airline flying from London Heathrow to Stuttgart, which was to be expected given my prior flights with them. Check-in process was fine at Heathrow. After security, I went to the first class lounge on the south side of Heathrow terminal 5. The lounge had no air conditioning and so was very hot as it was a fairly warm day outside - this made it quite uncomfortable. The hot food selection was poor - everything was very liquid based and looked unappetizing. There were a few bland sandwiches available as well. While the lounge itself is in a beautiful, large room, it is really let down by the lack of good food and service. Boarding process was seamless at the gate. The plane had been recently renovated but the seats were highly uncomfortable. There is very little legroom available and if you're taller than 5'11"", you're knees will likely be touching the seat in front of you. Food offering was very limited with only a small bag of chips on offer and one drink. Flight attendants were courteous but didn't really go beyond the minimum. No inflight entertainment or wifi whatsoever was available, which is really a disappointment given that so many other airlines are now installing this. Overall, the trip was fine but the onboard and lounge experiences could be improved.",0.3474,Positive
2814,"A pleasant trip with British Airways as usual but suffered a 60 minute delay, for which the Captain apologised for when we boarded. Inflight entertainment was on mainscreen and showed a range of programs and the onboard service was good, especially as it was a jam packed flight. However, these planes are rather old and neither my seat nor the one next to me had a working headphone jack. British Airways is a standard airline, but not as good as other major scheduled airlines. I find it tends to be rather hit and miss when it comes to the quality of cabin crew and aircraft.",0.7184,Positive
3012,A short haul from Gatwick to Rome and I had no expectations. Check in was quick and we were on a vintage Boeing 737. All in all very happy. They supplied a decent enough snack. Drinks service was efficient. There was no in- flight entertainment available but we should all be able to cope for 2 hours without surely? Comfortable enough friendly service got there on time and good price. All adds up to a happy traveller.,0.9016,Positive
3004,A short hop from LCY-ZRH. Nice clean Embraer which was only about 30% full on a Monday afternoon. Off on time landed early decent pasta salad meal and a white wine in flight. Smooth and efficient journey at a very good price.,0.8883,Positive
2771,"A slight delay in boarding (BA 816 - scheduled departure 12:55) resulted in priority boarding being suspended for general boarding. Hardly had the wheels left the ground before the person in row 1F (I was seated in 2F) reclined his seat back as far as it would go. When one of the cabin crew walked past (seat belt sign, still on) I asked if this was allowed. To my astonishment, I was told that yes it was. It was my understanding that the seat back must be in the upright position while the seatbelt sign is on during climb.",-0.4019,Negative
2617,"A superb flight and a very high standard of service. The Dreamliner aircraft was very clean. The seats were perfectly comfortable. The staff were smart and professional at all times. The steward offered to hang my jacket and we were offered drinks and snacks throughout the flight. The quality of the Indian (Tamil) food was second to none and authentic. The captain gave clear and friendly announcements. Overall I felt proud to fly British Airways to India. To me, the airline is a cut above the rest.",0.9753,Positive
1981,"A very comfortable flight from London to Las Vegas with British Airways. Good food and drink and the usual excellent service. Thankfully, BA seem to have abandoned the practice of serving afternoon tea at about midnight departure time and now serve a much more appropriate light hot meal. Coming back, the seat/bed was surprisingly comfortable. However, on this older 747, the IFE was simply not up to it, with limited content other than films.",0.9311,Positive
3221,A very pleasant but flawed flight to Dallas. On the plus side a very good lunch good drinks lots of privacy (difficult to see fellow passengers) a very comfortable seat and an excellent crew. However the IFE had limited choice and the second 'meal' served 8 hours after take off was a few sandwiches. Not difficult to put this right and turn good into great.,0.9873,Positive
2688,"A very pleasant experience apart from the so called fast track lane that took 20 minutes. The business class lounge was very nice with a great choice of drinks and snacks for early morning departure. As a regular on the Gatwick to Sharm el Sheikh route it was a breath of fresh air to have the option of a full service airline and Oneworld member. The business class seats are the same as economy class on the A320 but the middle seat blocked off worked for me, and the fare paid was very similar to easyJet flexi rates. Excellent service from take-off to landing.",0.8772,Positive
2784,"A very smooth and pleasant flight from start to finish. The bag drop queue at Terminal 5 was long but moved reasonably fast. Onboard a small snack of crisps and a drink was served, which was fine. The flight operated on time. My only quibble was that a label was put on my backpack instructing me to keep it at my feet, presumably so that other people with unreasonably large take-on bags could easily put them in the overhead bins (while I suffered less legroom than them). Apart from the safety issue of hand baggage stuck on the floor, this policy penalises people who do the right thing and encourages others to take big items of ""hand"" luggage. Come on, BA, enforce a your hand luggage rules and don't penalise considerate passengers.",0.9227,Positive
3351,A319 Barcelona to Heathrow Business no announcements for boarding so missed any chance of priority boarding. Why pay extra for something you are not going to get! Cabin service slow - over an hour until meal served had to ask for another drink as only 1 small bottle given. They also ran out of the main choice meal and the cabin was not full had second choice meal and this was cold. To Fly to Serve - I think not. Terrible service for an airline that is supposed to pride itself on service.,0.2601,Positive
3218,A380 Club World HKG-LHR. Overall a very good flight with BA. I had a good window seat with direct aisle access and fortunately the cabin was not particularly busy so the toilet did not cause any disturbance. I find the seat very comfortable for eating lounging and sleeping although a mattress topper would make sleeping even more comfortable. The half folding table is great when you just have a drink or your phone charging but of course this has to become the table when a meal service starts so it is a shame there isn't a separate table. The inflight entertainment is excellent I do not understand any criticism of this as the screen is large and good quality and there is a large choice of films and TV. The catering however continues to be poor with BA. While the menu sounds great and dishes generally look good they often fall down when you actually eat them. As this was an overnight flight the meals were designed lighter and the champagne and canapés starter sounded perfect they were however 3 limp tasteless bite sized things. This to me is BA's weakest area and they really need to improve their catering offering in order to compete with other airlines. Service from cabin crew were very good friendly and efficient and always calling me by my name wherever they see me in the cabin.,0.9942,Positive
2951,A380 LHR-IAD. After a visit to the Concorde Room the mood was set to enjoy this flight which we did. The Attendants were friendly helpful and attentive. The food and drinks were good though my wife was disappointed with her tasting plate. As expected the seats and space were appropriate and comfortable. The journey started and finished on schedule. There was not a great deal of difference between this flight and a A380 in J on Qantas so whilst no complaints I don't believe the additional cost are value for money.,0.7153,Positive
3228,A380 to Hong Kong WT+. Wonderful plane slept for a number of hours (which for me is all but unheard of). Food much better than I was expecting considering that WT+ is supposed to get the same food as WT. Plane left on time and arrived early. Crew friendly - I had little call to ask them for much but any request was quickly attended to. Return from Bangkok incoming flight (and hence departure from BKK) delayed to ATC in UK BA provided voucher which was more than enough for a good sized breakfast. 777 nowhere near as nice as the A380 noisy seats less comfortable and I got barely any sleep on this 13h flight. FAs not as attentive as going out but no real complaints. Poor choice of entertainment on very small screen. Overall quite good and fair value for money in WT+.,0.9486,Positive
3504,AMS-LCY economy. Embraer aircraft only half-full at most and on time. For such a short flight a high standard of cabin service with wine and a small snack offered. An excellent flight in all respects.,0.7184,Positive
3245,AMS-LHR-JNB and CPT-LHR-AMS in club. 767 between Amsterdam and London is just wonderful Love the front cabin. A380 to JNB. This was a late departure. I could see - from the lounge - the A380 arrive at the stand some 30 minutes prior to boarding obviously arriving late from another destination and even though it doesn't require a lot of inside-knowledge to see that such a plane can not be 'turned around' in 60 minutes. However BA did not feel there would be a delay until it called all it's premium passengers from the lounge and had them lined up in 4 separate lanes in front of the counter then announcing a delay of 15 then 30 then 45 minutes: How to get your most appreciated customers furious never hear so many complaints on an airline even before the flight started: terrible ground management: not a good start. Upperdeck club seating is absolutely wonderful and this plane is so quiet that you can hear everything. Never realized how much snoring is going on at night first time I had to use earplugs. Food was just terrible and how BA gets away with having pepper and salt in the cheapest of the cheapest sachets just baffles me. The flight to Jo'burg was obviously done by the more senior crew who have incredible charm wit and the most entertaining sense of humor. That opposed to the 'new crew' on the way back from Cape Town. Old 747 with spacious seating all fine. Crew stressed running all the time no manners no sense of class and definitely no sense of humor. Food was slightly better on this long flight but way below any other European carrier I flew. It was my first time in club on BA I love the seat very comfortable for sleeping. There is a lack of space to put your stuff but other than that: a really nice product. BA lounges definitely stand out in the level of catering (food). Transfer at LHR T 5 was quick and easy but terminal itself is a tacky shopping mall and how - so soon after being delivered as new - half of it was blocked for remodelling. My return to Amsterdam on a new A319 was great. Good breakfast and seating is fine.,0.9872,Positive
3285,AMS-LHR-JNBJNB-LHR-AMS all flights on time very clean and new aircraft staff very friendly and nice food. LHR- JNB flights on A380 fantastic aircraft inflight entertainment very good with music and movies. I would fly British Airways definitely again.,0.9676,Positive
3465,ATL to LHR: Boeing 777 (Economy). I've just returned from a family holiday in the USA and flew BA Economy. The flight was slightly delayed but most of this delay was made up during the journey. Staff were pleasant and the IFE was fine. However the food was terrible. Main meal was a choice of Chicken Curry and Rice or a Veggie Pasta. Breakfast before landing was a cold box consisting of a Croissant bag of Cranberries and a Granola Bar. What has happened to the 2 meat choices? (Veggies choose veggie option in advance) and a cooked breakfast? BA have a British flag on the tail but do not serve any British food. I'm a Silver Executive Club member and food on BA has been deteriorating over the last couple of years. I've made several complaints.,-0.6999,Negative
3357,"Aberdeen-Heathrow-Miami and return World Traveller Plus (premium economy). Received a text from BA at 0600 that our 09:30 ABZ-LHR flight had been cancelled which would impact upon the US flight. Phoned the helpline as suggested. Utterly useless options provided by their staff which was weighted towards a ticket refund - no use for a family holiday. Made unsuitable suggestions including can you get to Aberdeen for the 7:30 flight (it was 7am and had now spent 1hr on phone to them). Gave up and just went to the airport. Fortunately BA staff there were excellent and got me on next flight to Heathrow despite breaching their own min of 1 hour requirement for connections. Flight to London was good with good service leather seats. Cabin crew facilitated us getting off plane first and BA staff member met us to get us to next gate ASAP for Miami flight. Service centre useless but face to face staff great. LHR-MIA flight. Aircraft a 747 was old and tatty and WT+ seats were rubbish in comparison to Virgin product that I have experienced. Not that comfortable. Seat back TV is same as economy namely 4"" across tiny but selection was ok and seats are fabric and didn't seem that much better than economy. Food (beef) was outstanding for aircraft food. Staff were pretty good. Aircraft on time. Return journey much the same but staff were better. Conclusion is that face to face staff great food great. But needs a modern fleet - our 747 was really aged and their world traveller plus product needs work with hindsight probably would have just travelled economy as leg room wasn't that much more. If you take a iPad to watch movies and are not tall economy would do the job. Their helpline needs to be addressed. Clue being in the title - HELPline. Would fly BA again but would think about their WT+ option carefully.",0.9924,Positive
2079,"Absolutely dire. They were installing a new check in system which failed. Huge queues at check in and we had to ask to be taken out of the line or we would have missed our flight despite arriving well in advance. They then lost our luggage, both mine and my partners, and they didn't even get it on the Glasgow flight. The luggage took 2 days to arrive in Zurich, that's 2 days from a 6 day break that we had to stay in waiting on luggage. Their online information service didnt match what we were told verbally on the phone and the people we spoke to were irritable, rude and unhelpful. We submitted a formal complaint on our return via BA website. It took them over 3 weeks to reply and when they did they accepted no responsibility and gave us a list of excuses about how they had a new check in service that was causing problems in London. Totally irrelevant to the problems in Glasgow. An appalling company and gone are the days where they had a good reputation for looking after customers. Unlikely we will ever fly with them again unless there is absolutely no other option.",-0.9726,Negative
2767,"Absolutely disappointing experience. Flight was delayed by more than 2 hours but ground staff were unfriendly and unwilling to help arrange transport options even though plane touched down after midnight with no public transport options available. Reason was claimed to be weather but both Aberdeen and London experienced good weather, with no other flights being delayed in both locations. Concocted reason to fool passengers. Would not recommend this airline previous two flights have been delayed for at least an hour each.",-0.924,Negative
2746,"Absolutely disgusted, delayed by 45 min with no reasons on a quiet night with one other international flight. Baby seat too small, no infant meal available after confirmation at check-in. Entertainment system stuck on a loop and not working. Dirt between seats that is disgusting. Old seats and flight. Flying in 2015 this must be a 20 year old flight, not comfortable. However good leg room.",-0.9318,Negative
