num_passengers,purchase_lead,length_of_stay,flight_hour,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,flight_day_num,sales_channel_encoded,trip_type_encoded,route_encoded,booking_origin_encoded
2,22,27,23,1,0,1,8.83,0,5,0,0,0.0536,0.02148
1,70,106,3,1,0,1,8.83,0,4,0,0,0.0536,0.14348
1,126,28,20,1,0,0,8.83,0,7,0,0,0.0536,0.00114
1,8,45,8,0,0,0,8.83,0,2,0,0,0.0536,0.14348
2,51,29,11,1,0,1,8.83,0,7,0,0,0.0536,0.02148
1,142,124,9,1,0,0,8.83,1,3,0,0,0.0536,0.14348
1,87,33,9,1,0,0,8.83,0,6,0,0,0.0536,0.0406
5,238,21,8,1,1,1,8.83,0,5,1,0,0.0536,0.02148
2,86,34,0,1,0,0,8.83,0,6,0,0,0.0536,0.02148
1,313,35,20,1,0,0,8.83,0,6,1,0,0.0536,0.02148
2,41,20,20,1,1,1,8.83,0,7,0,0,0.0536,0.00054
1,91,46,8,1,1,1,8.83,0,3,0,0,0.0536,0.02148
1,41,21,12,1,0,0,8.83,0,2,1,0,0.0536,0.14348
1,82,33,10,1,0,0,8.83,0,2,0,0,0.0536,0.02148
5,206,17,13,1,0,0,8.83,0,7,0,0,0.0536,0.14348
4,6,55,5,1,1,0,8.83,0,4,0,0,0.0536,0.02148
5,197,18,10,1,0,1,8.83,0,5,0,0,0.0536,0.14348
1,34,22,13,1,0,1,8.83,1,2,0,0,0.0536,0.14348
2,112,21,17,1,0,0,8.83,0,2,0,0,0.0536,0.14348
2,268,47,1,1,0,1,8.83,0,1,0,0,0.0536,0.02148
1,157,26,15,1,0,1,8.83,0,1,0,0,0.0536,8e-05
2,145,51,4,1,1,1,8.83,0,3,0,0,0.0536,0.14348
4,241,24,9,0,0,0,8.83,0,1,0,0,0.0536,0.02148
1,172,17,9,0,0,1,8.83,0,5,0,0,0.0536,0.00018
1,99,19,7,0,0,0,8.83,0,3,0,0,0.0536,0.14348
1,139,22,8,1,0,1,8.83,0,7,1,0,0.0536,0.02148
1,59,35,13,0,1,0,8.83,1,7,0,0,0.0536,0.14348
1,396,23,9,1,0,1,8.83,0,1,0,0,0.0536,0.02148
2,280,18,23,1,0,1,8.83,0,2,0,0,0.0536,0.14348
1,79,23,10,0,0,0,8.83,0,2,0,0,0.0536,0.14348
1,37,26,21,1,0,0,8.83,0,3,0,0,0.0536,0.02148
2,69,19,17,1,0,0,8.83,0,6,0,0,0.0536,0.00116
1,380,21,21,1,1,0,8.83,0,4,0,0,0.0536,0.02148
5,206,17,13,1,0,0,8.83,0,7,0,0,0.0536,0.14348
1,13,27,1,1,0,1,8.83,0,3,0,0,0.0536,0.02148
1,229,31,2,0,0,1,8.83,0,5,0,0,0.0536,0.02148
1,132,20,9,1,0,0,8.83,0,1,0,0,0.0536,2e-05
4,121,18,6,1,1,1,8.83,0,7,0,0,0.0536,0.14348
4,316,22,14,1,0,0,8.83,1,4,0,0,0.0536,0.14348
5,67,35,2,1,1,1,8.83,1,2,0,0,0.0536,0.14348
1,419,21,16,1,0,0,8.83,0,7,0,0,0.0536,0.14348
2,18,46,2,0,0,0,8.83,0,1,0,0,0.0536,0.14348
1,58,21,12,1,0,1,8.83,0,3,0,0,0.0536,0.00084
2,115,87,6,0,0,0,8.83,0,3,0,0,0.0536,2e-05
1,236,91,6,1,0,1,8.83,0,5,0,0,0.0536,0.14348
1,225,25,6,1,1,0,8.83,1,2,0,0,0.0536,0.00114
1,116,56,15,1,0,0,8.83,0,4,0,0,0.0536,0.14348
1,34,90,7,1,1,0,8.83,0,6,0,0,0.0536,0.14348
1,191,60,11,1,0,1,8.83,0,7,0,0,0.0536,0.00114
1,55,22,7,1,0,0,8.83,0,6,0,0,0.0536,0.02148
1,53,180,2,1,0,0,8.83,0,6,1,0,0.0536,0.02148
1,13,17,3,0,0,0,8.83,0,7,0,0,0.0536,0.02148
1,275,36,4,1,1,0,8.83,0,3,0,0,0.0536,0.02148
1,58,17,7,1,0,1,8.83,0,7,0,0,0.0536,0.02148
2,45,25,1,0,0,0,8.83,0,1,0,0,0.0536,0.02148
2,417,22,4,1,0,1,8.83,0,7,0,0,0.0536,0.02148
2,159,21,8,1,0,0,8.83,0,5,0,0,0.0536,0.02148
2,173,40,8,0,0,0,8.83,0,7,0,0,0.0536,0.02148
2,92,65,13,1,0,0,8.83,0,1,0,0,0.0536,0.00024
1,106,208,4,1,0,0,8.83,0,4,0,0,0.0536,0.0777
3,316,35,16,0,0,0,8.83,0,2,0,0,0.0536,0.14348
2,245,27,11,0,0,0,8.83,1,1,0,0,0.0536,0.02148
3,218,21,8,0,0,0,8.83,0,2,0,0,0.0536,0.02148
1,96,106,1,1,1,1,8.83,0,7,0,0,0.0536,0.02148
1,67,22,11,0,0,0,8.83,0,1,0,0,0.0536,0.14348
1,145,204,16,1,1,1,8.83,0,5,0,0,0.0536,0.14348
1,295,18,6,0,0,0,8.83,0,1,0,0,0.0536,0.14348
1,57,51,3,1,0,1,8.83,0,3,0,0,0.0536,0.02148
1,12,20,8,1,0,0,8.83,0,2,1,0,0.0536,0.02148
3,77,31,0,1,0,0,8.83,0,4,0,0,0.0536,0.02148
2,7,83,16,1,0,1,8.83,0,2,0,0,0.0536,0.14348
1,305,18,3,0,0,0,8.83,0,3,1,0,0.0536,0.02148
2,235,18,22,1,0,1,8.83,1,2,0,0,0.0536,0.14348
1,332,17,11,0,0,0,8.83,0,6,0,0,0.0536,0.02148
1,3,35,6,1,0,0,8.83,0,2,0,0,0.0536,0.02148
2,56,42,4,1,0,1,8.83,1,4,0,0,0.0536,0.14348
2,125,85,15,1,0,0,8.83,0,4,0,0,0.0536,0.14348
1,86,21,2,1,0,0,8.83,0,6,0,0,0.0536,0.14348
2,204,24,6,1,1,0,8.83,0,1,0,0,0.0536,0.02148
1,310,44,13,1,0,1,8.83,0,2,0,0,0.0536,0.02148
1,115,20,7,1,0,0,8.83,0,1,0,0,0.0536,0.02148
1,57,24,12,1,0,0,8.83,0,4,0,0,0.0536,0.02148
4,368,36,16,0,0,0,8.83,0,7,0,0,0.0536,0.14348
1,59,37,15,0,0,0,8.83,0,7,0,0,0.0536,0.14348
1,6,21,21,0,0,0,8.83,0,7,0,0,0.0536,0.02148
3,67,22,7,1,1,0,8.83,0,3,0,0,0.0536,0.00776
1,169,22,9,1,0,0,8.83,0,6,0,0,0.0536,0.02148
1,214,38,12,0,0,0,8.83,0,4,0,0,0.0536,0.14348
1,5,19,14,1,0,0,8.83,0,4,0,0,0.0536,0.14348
2,14,17,10,1,0,0,8.83,1,6,0,0,0.0536,0.00168
2,173,64,14,0,0,0,8.83,0,4,0,0,0.0536,0.14348
1,7,22,7,1,0,0,8.83,0,1,0,0,0.0536,0.02148
1,196,86,3,1,0,0,8.83,0,7,0,0,0.0536,0.02148
2,155,24,7,1,0,0,8.83,0,7,0,0,0.0536,0.02148
1,245,19,9,0,0,0,8.83,0,6,0,0,0.0536,0.02148
1,22,82,10,1,1,1,8.83,1,5,1,0,0.0536,0.14348
1,325,22,4,1,0,0,8.83,0,3,0,0,0.0536,0.14348
1,6,1,23,1,0,0,8.83,0,7,0,1,0.0536,0.02148
2,130,18,10,0,0,0,8.83,0,1,0,0,0.0536,0.02148
1,218,17,2,1,0,1,8.83,1,5,0,0,0.0536,0.14348
1,189,35,8,1,0,0,8.83,0,7,0,0,0.0536,0.14348
1,35,41,15,1,1,1,8.83,0,4,0,0,0.0536,0.14348
1,189,60,8,0,1,1,8.83,0,2,0,0,0.0536,0.02148
4,226,17,6,1,0,0,8.83,0,7,0,0,0.0536,0.14348
1,122,30,13,1,0,0,8.83,0,4,0,0,0.0536,0.0254
2,88,30,8,1,0,1,8.83,0,3,0,0,0.0536,0.14348
4,211,21,10,1,0,0,8.83,1,5,0,0,0.0536,0.14348
1,259,82,9,1,0,1,8.83,1,7,0,0,0.0536,0.14348
5,188,17,12,1,0,1,8.83,1,4,0,0,0.0536,0.14348
1,129,25,9,1,0,1,8.83,0,1,0,0,0.0536,0.02148
2,190,69,21,1,0,0,8.83,0,4,0,0,0.0536,0.02148
1,172,54,8,1,1,1,8.83,0,2,0,0,0.0536,0.14348
1,149,17,4,1,0,1,8.83,0,1,0,0,0.0536,0.02148
1,15,28,7,0,0,0,8.83,1,7,0,0,0.0536,0.00072
4,38,17,4,0,0,0,8.83,0,7,0,0,0.0536,0.14348
1,8,238,5,1,1,0,8.83,0,5,1,0,0.0536,0.02148
1,214,23,8,1,1,0,8.83,0,7,0,0,0.0536,0.02148
1,14,275,3,1,0,1,8.83,1,3,0,0,0.0536,0.02088
2,9,84,13,1,1,1,8.83,0,5,0,0,0.0536,0.14348
1,70,20,14,0,0,0,8.83,0,6,0,0,0.0536,0.14348
3,35,17,3,1,0,1,8.83,0,7,0,0,0.0536,0.14348
4,53,42,23,1,0,1,8.83,0,6,0,0,0.0536,0.02148
1,77,28,15,1,1,0,8.83,0,3,0,0,0.0536,0.14348
2,259,39,21,1,0,1,8.83,0,4,0,0,0.0536,0.02148
1,106,27,7,0,0,0,8.83,0,7,0,0,0.0536,0.14348
1,194,86,3,1,0,1,8.83,0,7,0,0,0.0536,0.02148
1,134,26,15,1,0,0,8.83,0,3,0,0,0.0536,0.14348
1,3,36,16,0,0,1,8.83,1,7,0,0,0.0536,0.14348
1,149,17,2,1,0,1,8.83,0,4,0,0,0.0536,0.02148
2,9,44,8,1,0,1,8.83,1,5,0,0,0.0536,0.14348
1,37,95,17,1,0,1,8.83,0,2,0,0,0.0536,0.00092
2,183,34,11,1,0,1,8.83,0,5,0,0,0.0536,0.02148
1,40,31,5,1,1,1,8.83,0,5,0,0,0.0536,0.02148
1,95,83,6,0,0,0,8.83,1,3,0,0,0.0536,0.02148
1,135,24,4,0,0,0,8.83,0,5,0,0,0.0536,0.02148
1,15,90,13,1,0,1,8.83,0,5,1,0,0.0536,0.00114
1,222,23,9,0,0,1,8.83,1,6,0,0,0.0536,0.14348
2,64,29,12,1,0,0,8.83,1,1,0,0,0.0536,0.14348
1,162,19,8,1,0,0,8.83,0,2,0,0,0.0536,0.02148
1,22,27,9,0,0,1,8.83,0,7,0,0,0.0536,0.02148
2,150,31,8,1,0,1,8.83,0,7,0,0,0.0536,0.02148
1,73,27,12,0,0,0,8.83,0,5,0,0,0.0536,0.02148
3,133,19,9,0,0,0,8.83,0,6,0,0,0.0536,0.02148
1,24,1,0,1,0,0,8.83,0,3,0,1,0.0536,0.02148
1,66,20,14,0,1,1,8.83,0,7,0,0,0.0536,0.14348
3,89,22,6,1,0,0,8.83,0,6,0,0,0.0536,0.14348
2,105,91,12,1,1,1,8.83,0,6,0,0,0.0536,0.14348
1,115,95,9,1,0,0,8.83,0,4,0,0,0.0536,0.02148
1,151,39,7,1,0,1,8.83,0,7,0,0,0.0536,0.02148
3,349,18,20,1,1,0,8.83,0,1,0,0,0.0536,0.02148
1,13,18,9,1,0,1,8.83,1,5,0,0,0.0536,0.14348
2,29,20,1,0,0,0,8.83,0,5,0,0,0.0536,0.02148
1,69,28,14,1,1,1,8.83,0,4,1,0,0.0536,0.14348
5,206,17,13,1,0,0,8.83,0,7,0,0,0.0536,0.14348
1,6,21,3,1,0,0,8.83,0,5,0,0,0.0536,0.14348
2,23,31,4,1,0,0,8.83,0,1,1,0,0.0536,0.04738
1,197,19,3,0,0,0,8.83,1,1,0,0,0.0536,0.02148
2,368,65,2,1,0,1,8.83,1,7,0,0,0.0536,0.14348
1,25,19,6,1,1,0,8.83,0,5,0,0,0.0536,0.14348
1,189,33,11,1,1,1,8.83,1,5,0,0,0.0536,0.0003
1,123,70,22,0,0,0,8.83,0,2,1,0,0.0536,0.14348
2,298,22,7,1,0,0,8.83,0,2,0,0,0.0536,0.14348
1,89,24,9,1,0,0,8.83,0,7,0,0,0.0536,0.02148
1,241,125,11,1,0,1,8.83,0,3,0,0,0.0536,0.02148
2,195,27,2,1,1,1,8.83,0,3,1,0,0.0536,0.02148
1,84,18,9,0,0,0,8.83,0,3,1,0,0.0536,0.14348
1,410,25,13,1,1,0,8.83,1,6,0,0,0.0536,0.00114
3,95,24,8,1,1,1,8.83,1,2,0,0,0.0536,0.02148
1,122,54,5,0,0,1,8.83,0,4,0,0,0.0536,0.0059
2,216,26,9,0,0,0,8.83,0,7,0,0,0.0536,0.02148
1,89,20,23,1,0,0,8.83,0,3,0,0,0.0536,0.02148
1,111,42,7,1,0,0,8.83,1,1,0,0,0.0536,0.0777
1,11,39,7,1,0,0,8.83,0,6,0,0,0.0536,0.14348
3,174,17,3,1,0,0,8.83,0,3,0,0,0.0536,0.02148
2,162,18,4,0,0,0,8.83,1,4,1,0,0.0536,0.14348
2,139,1,8,1,0,0,8.83,0,5,0,1,0.0536,0.02148
1,19,93,3,1,1,1,8.83,0,1,0,0,0.0536,0.02148
1,110,18,15,0,0,0,8.83,0,4,0,0,0.0536,0.02148
2,9,54,7,1,0,1,8.83,1,4,0,0,0.0536,0.14348
1,47,28,15,1,0,0,8.83,0,7,1,0,0.0536,0.14348
6,349,21,5,1,0,0,8.83,0,7,1,0,0.0536,0.14348
2,109,21,17,1,1,1,8.83,1,7,0,0,0.0536,0.14348
1,0,23,5,0,0,0,8.83,0,2,0,0,0.0536,0.14348
4,38,21,0,1,0,1,8.83,0,1,0,0,0.0536,0.14348
1,58,28,8,0,0,1,8.83,0,3,0,0,0.0536,0.02148
4,192,20,6,1,0,1,8.83,1,7,0,0,0.0536,0.14348
4,210,21,4,1,0,0,8.83,0,7,1,0,0.0536,0.14348
2,326,22,12,0,0,0,8.83,1,7,0,0,0.0536,0.14348
2,13,17,10,1,1,1,8.83,0,2,0,0,0.0536,0.14348
2,240,64,14,0,1,0,8.83,0,3,0,0,0.0536,0.14348
1,39,21,7,0,0,0,8.83,0,1,0,0,0.0536,0.02148
1,23,35,8,0,0,0,8.83,0,7,0,0,0.0536,0.04738
5,198,34,14,1,1,1,8.83,0,1,0,1,0.0536,0.0059
1,75,30,10,1,0,0,8.83,0,2,0,0,0.0536,0.0406
1,54,20,8,1,0,1,8.83,0,1,0,0,0.0536,0.02148
1,32,41,1,0,0,0,8.83,0,7,0,0,0.0536,0.02148
2,101,34,17,1,0,0,8.83,0,4,0,0,0.0536,0.00036
2,294,49,16,1,0,0,8.83,0,2,0,0,0.0536,0.0777
1,304,59,0,1,0,1,8.83,0,3,0,0,0.0536,0.02148
3,32,23,15,1,0,0,8.83,1,3,0,0,0.0536,0.14348
2,160,24,22,1,0,0,8.83,0,3,1,0,0.0536,0.02148
3,363,18,2,1,1,1,8.83,0,1,0,0,0.0536,0.14348
1,214,31,9,1,0,0,8.83,0,7,0,0,0.0536,0.14348
1,162,18,11,1,0,0,8.83,1,2,0,0,0.0536,0.14348
5,97,21,10,1,1,0,8.83,1,3,0,0,0.0536,0.14348
2,71,30,6,1,1,0,8.83,1,1,0,0,0.0536,0.02148
2,231,17,15,1,1,1,8.83,0,2,0,0,0.0536,0.14348
2,163,35,12,1,0,1,8.83,1,5,0,0,0.0536,0.14348
1,62,21,3,1,1,0,8.83,0,4,0,0,0.0536,0.14348
1,1,18,5,1,0,0,8.83,0,2,0,0,0.0536,0.02148
1,314,19,8,0,1,0,8.83,0,3,0,0,0.0536,0.02148
2,178,69,9,1,0,0,8.83,0,5,0,0,0.0536,0.14348
1,253,107,10,0,0,0,8.83,0,3,0,0,0.0536,0.02148
2,81,43,6,1,0,1,8.83,0,4,0,0,0.0536,0.02148
1,30,85,15,1,0,0,8.83,1,5,0,0,0.0536,0.14348
1,120,20,12,1,0,1,8.83,0,5,0,0,0.0536,0.02148
1,25,19,3,1,0,1,8.83,0,3,0,0,0.0536,0.14348
1,62,30,7,1,0,1,8.83,0,4,0,0,0.0536,0.14348
1,58,17,6,1,1,0,8.83,0,3,0,0,0.0536,0.02148
